0,1,2,3,4
Date,Description,Money In,Money Out,Balance
28/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 1.98,"£ -1,295.67"
,"PAY), ON 27-05-2024",,,
28/05/2024,ARRANGED OVERDRAFT,,£ 10.78,"£ -1,293.69"
,INTEREST,,,
28/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 1.80,"£ -1,282.91"
,"PAY), ON 27-05-2024",,,
28/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 14.20,"£ -1,281.11"
,"PAY), ON 27-05-2024",,,
28/05/2024,"APPLE.COM/BILL (VIA APPLE PAY),",,£ 19.99,"£ -1,266.91"
,ON 27-05-2024,,,
27/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.58,"£ -1,246.92"
,"PAY), ON 26-05-2024",,,
27/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 29.35,"£ -1,244.34"
,ON 25-05-2024,,,
27/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,214.99"
,ON 26-05-2024,,,
26/05/2024,HONEST BURGERS BOROUGH,,£ 17.91,"£ -1,208.59"
,"(VIA APPLE PAY), ON 25-05-2024",,,
26/05/2024,CARD PAYMENT TO Netflix.com ON,,£ 4.99,"£ -1,190.68"
,26-05-2024,,,
26/05/2024,SAINSBURYS S/MKTS (VIA APPLE,,£ 1.10,"£ -1,185.69"
,"PAY), ON 25-05-2024",,,
26/05/2024,"AMORA GUSTO (VIA APPLE PAY),",,£ 13.40,"£ -1,184.59"
,ON 25-05-2024,,,
26/05/2024,"AMORA GUSTO (VIA APPLE PAY),",,£ 6.70,"£ -1,171.19"
,ON 25-05-2024,,,
26/05/2024,HALA RESTAURANT (VIA APPLE,,£ 8.25,"£ -1,164.49"
Date,Description,Money In,Money Out,Balance
26/05/2024,FASTER PAYMENTS RECEIPT,£ 294.82,,"£ -1,156.24"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
26/05/2024,SUPERDRUG STORES PLC (VIA,,£ 11.48,"£ -1,451.06"
,"APPLE PAY), ON 25-05-2024",,,
26/05/2024,ANTEPLILER LIVER (VIA APPLE,,£ 32.00,"£ -1,439.58"
,"PAY), ON 25-05-2024",,,
26/05/2024,CITIZENM TOWER OF LOND (VIA,,£ 4.00,"£ -1,407.58"
,"APPLE PAY), ON 25-05-2024",,,
26/05/2024,CITIZENM TOWER OF LOND (VIA,,£ 3.80,"£ -1,403.58"
,"APPLE PAY), ON 25-05-2024",,,
25/05/2024,FASTER PAYMENTS RECEIPT,£ 70.00,,"£ -1,399.78"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
25/05/2024,"SQ *15GRAMS (VIA APPLE PAY),",,£ 8.20,"£ -1,469.78"
,ON 25-05-2024,,,
25/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,461.58"
,ON 24-05-2024,,,
25/05/2024,CARD PAYMENT TO PAYPAL,,£ 9.77,"£ -1,455.18"
,*UBER EATS ON 22-05-2024,,,
25/05/2024,"BESPOKE CAFE (VIA APPLE PAY),",,£ 7.20,"£ -1,445.41"
,ON 24-05-2024,,,
24/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,438.21"
,ON 23-05-2024,,,
24/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.38,"£ -1,431.81"
,"PAY), ON 24-05-2024",,,
24/05/2024,FASTER PAYMENTS RECEIPT,£ 60.00,,"£ -1,429.43"
Date,Description,Money In,Money Out,Balance
23/05/2024,"MR TRIMMER (VIA APPLE PAY),",,£ 30.00,"£ -1,489.43"
,ON 22-05-2024,,,
22/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,459.43"
,ON 21-05-2024,,,
22/05/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 6.29,"£ -1,453.03"
,"PAY), ON 20-05-2024",,,
22/05/2024,FASTER PAYMENTS RECEIPT,£ 50.00,,"£ -1,446.74"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
22/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 5.40,"£ -1,496.74"
,"PAY), ON 21-05-2024",,,
21/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,491.34"
,ON 20-05-2024,,,
21/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 9.30,"£ -1,484.94"
,"PAY), ON 20-05-2024",,,
20/05/2024,GAILS - SOUTH KENSINGT (VIA,,£ 6.80,"£ -1,475.64"
,"APPLE PAY), ON 19-05-2024",,,
20/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 4.95,"£ -1,468.84"
,ON 19-05-2024,,,
19/05/2024,PAME GREEK LTD (VIA APPLE,,£ 39.71,"£ -1,463.89"
,"PAY), ON 18-05-2024",,,
19/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,424.18"
,ON 18-05-2024,,,
19/05/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 19.57,"£ -1,417.78"
,"PAY), ON 17-05-2024",,,
19/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 6.75,"£ -1,398.21"
,"PAY), ON 18-05-2024",,,
19/05/2024,,,£ 1.50,"£ -1,391.46"
Date,Description,Money In,Money Out,Balance
,"HUMAN FOREST (VIA APPLE PAY),",,,
,ON 18-05-2024,,,
19/05/2024,"APPLE.COM/BILL (VIA APPLE PAY),",,£ 10.99,"£ -1,389.96"
,ON 18-05-2024,,,
18/05/2024,FASTER PAYMENTS RECEIPT,£ 100.00,,"£ -1,378.97"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
18/05/2024,SUPERDRUG STORES PLC (VIA,,£ 3.99,"£ -1,478.97"
,"APPLE PAY), ON 17-05-2024",,,
18/05/2024,SUPERDRUG STORES PLC (VIA,,£ 6.88,"£ -1,474.98"
,"APPLE PAY), ON 17-05-2024",,,
18/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 10.95,"£ -1,468.10"
,"PAY), ON 17-05-2024",,,
