0,1,2,3,4
Date,Description,Money In,Money Out,Balance
19/06/2024,"NANOU DONUTS (VIA APPLE PAY),",,£ 6.10,"£ -1,457.71"
,ON 19-06-2024,,,
19/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 7.60,"£ -1,451.61"
,ON 18-06-2024,,,
19/06/2024,"BESPOKE CAFE (VIA APPLE PAY),",,£ 3.20,"£ -1,444.01"
,ON 19-06-2024,,,
19/06/2024,CARD PAYMENT TO TRUE,,£ 12.08,"£ -1,440.81"
,CHICKEN LTD ON 17-06-2024,,,
19/06/2024,FASTER PAYMENTS RECEIPT,£ 50.00,,"£ -1,428.73"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
19/06/2024,HOOP AND TOY (KENSINGT (VIA,,£ 7.55,"£ -1,478.73"
,"APPLE PAY), ON 18-06-2024",,,
19/06/2024,TESCO STORES 2544 (VIA APPLE,,£ 11.34,"£ -1,471.18"
,"PAY), ON 18-06-2024",,,
19/06/2024,TESCO STORES 2544 (VIA APPLE,,£ 8.50,"£ -1,459.84"
,"PAY), ON 18-06-2024",,,
18/06/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.67,"£ -1,451.34"
,"PAY), ON 17-06-2024",,,
18/06/2024,"KESARI STORE (VIA APPLE PAY),",,£ 3.78,"£ -1,447.67"
,ON 17-06-2024,,,
18/06/2024,"KESARI STORE (VIA APPLE PAY),",,£ 4.99,"£ -1,443.89"
,ON 17-06-2024,,,
18/06/2024,"MR TRIMMER (VIA APPLE PAY),",,£ 30.00,"£ -1,438.90"
,ON 17-06-2024,,,
18/06/2024,CARD PAYMENT TO PAYPAL,,£ 4.19,"£ -1,408.90"
,*UBERTRIP ON 15-06-2024,,,
18/06/2024,,,£ 16.00,"£ -1,404.71"
Date,Description,Money In,Money Out,Balance
,CARD PAYMENT TO PAYPAL,,,
,*UBER EATS ON 15-06-2024,,,
18/06/2024,"NANOU DONUTS (VIA APPLE PAY),",,£ 6.10,"£ -1,388.71"
,ON 17-06-2024,,,
18/06/2024,"BESPOKE CAFE (VIA APPLE PAY),",,£ 6.40,"£ -1,382.61"
,ON 17-06-2024,,,
17/06/2024,PAUL UK SOUTH KENSINGT (VIA,,£ 2.80,"£ -1,376.21"
,"APPLE PAY), ON 16-06-2024",,,
17/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,373.41"
,ON 16-06-2024,,,
17/06/2024,FASTER PAYMENTS RECEIPT,£ 100.00,,"£ -1,367.01"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
17/06/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 5.08,"£ -1,467.01"
,"PAY), ON 16-06-2024",,,
16/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,461.93"
,ON 15-06-2024,,,
16/06/2024,GAILS - SOUTH KENSINGT (VIA,,£ 3.90,"£ -1,455.53"
,"APPLE PAY), ON 15-06-2024",,,
15/06/2024,CARD PAYMENT TO TFL TRAVEL,,£ 3.50,"£ -1,451.63"
,CH ON 14-06-2024,,,
15/06/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 17.58,"£ -1,448.13"
,"PAY), ON 13-06-2024",,,
15/06/2024,SUPERDRUG STORES PLC (VIA,,£ 4.39,"£ -1,430.55"
