Date,Description,Money in,Money out
01/01/2024,0,0.0,1.2
01/02/2024,TESCO STORES 2544 (VIA APPLE £ 7.00,0.0,7.0
01/02/2024,"PROPER PIZZA (VIA APPLE PAY), £ 10.95",0.0,10.95
01/02/2024,CARD PAYMENT TO DICLE FOOD £ 4.66,0.0,4.66
01/02/2024,DICLE FOOD CENTRE (VIA APPLE £ 6.52,0.0,6.52
01/04/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
01/04/2024,TESCO STORES 6611 (VIA APPLE £ 3.40,0.0,3.4
01/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
01/05/2024,GAILS - SOUTH KENSINGT (VIA £ 6.80,0.0,6.8
01/05/2024,TESCO STORES 2544 (VIA APPLE £ 0.35,0.0,0.35
01/05/2024,BILL PAYMENT VIA FASTER £ 110.00,0.0,110.0
01/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
01/06/2024,TRUE CHICKEN LTD (VIA APPLE £ 12.08,0.0,12.08
01/06/2024,CARD PAYMENT TO PAYPAL £ 13.50,0.0,13.5
01/08/2023,TRANSFER TO MR LEFTERIS £ 15.00,0.0,15.0
01/09/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
02/01/2024,MCDONALDS 420 (VIA APPLE £ 7.57,0.0,7.57
02/01/2024,TESCO STORES 2544 (VIA APPLE £ 6.50,0.0,6.5
02/04/2024,TESCO STORES 6611 (VIA APPLE £ 1.10,0.0,1.1
02/04/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
02/05/2024,"COSTA COFFEE (VIA APPLE PAY), £ 2.15",0.0,2.15
02/05/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.15",0.0,4.15
02/05/2024,"TESCO STORES (VIA APPLE PAY), £ 6.80",0.0,6.8
02/05/2024,TRUE CHICKEN LTD (VIA APPLE £ 6.29,0.0,6.29
02/05/2024,ORGANIC HEALTH (VIA APPLE £ 61.00,0.0,61.0
02/05/2024,"PIZZA EXPRESS (VIA APPLE PAY), £ 47.05",0.0,47.05
02/05/2024,COACH AND HORSES (VIA APPLE £ 14.50,0.0,14.5
02/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 7.80",0.0,7.8
02/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.20",0.0,3.2
02/08/2023,TRANSFER TO MR LEFTERIS £ 9.00,0.0,9.0
02/08/2023,TRANSFER TO MR LEFTERIS £ 10.00,0.0,10.0
02/08/2023,TRANSFER TO MR LEFTERIS £ 31.00,0.0,31.0
02/09/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
03/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 3.80",0.0,3.8
03/01/2024,CARD PAYMENT TO Nanou Donuts £ 2.50,0.0,2.5
03/01/2024,TESCO STORES 2544 (VIA APPLE £ 3.33,0.0,3.33
03/04/2024,TESCO STORES 6611 (VIA APPLE £ 1.10,0.0,1.1
03/04/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
03/04/2024,"ALDI 776-048 (VIA APPLE PAY), ON £ 2.19",0.0,2.19
03/04/2024,ALLENS PHARMACY (VIA APPLE £ 4.25,0.0,4.25
03/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
03/05/2024,"APPLE.COM/BILL (VIA APPLE PAY), £ 10.99",0.0,10.99
03/05/2024,TRUE CHICKEN LTD (VIA APPLE £ 6.29,0.0,6.29
03/05/2024,CARD PAYMENT TO LOWELL £ 8.24,0.0,8.24
03/05/2024,CARD PAYMENT TO LOWELL £ 5.88,0.0,5.88
03/05/2024,CARD PAYMENT TO LOWELL £ 35.88,0.0,35.88
03/05/2024,CARD PAYMENT TO Netflix.com ON £ 4.99,0.0,4.99
03/06/2024,WITHDRAWAL 500.00 CASH AT £ 500.00,0.0,500.0
03/06/2024,CARD PAYMENT TO UNCLE £ 29.20,0.0,29.2
03/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.20",0.0,3.2
03/06/2024,CARD PAYMENT TO TESCO £ 2.80,0.0,2.8
